,id,groupId,push,pull,cost
29,392,66,215452,142246,357698
84,992,35,215353,142442,357795
278,1946,48,211829,146116,357945
106,1060,32,215670,142473,358143
127,1172,92,216957,141962,358919
192,1511,32,217481,141498,358979
121,1107,32,217515,141980,359495
115,1075,32,218779,141233,360012
273,1933,48,214530,146403,360933
285,1960,48,214571,146564,361135
747,2944,75,214543,146910,361453
55,862,32,208098,153395,361493
236,1668,86,219660,142210,361870
61,881,32,220097,142049,362146
125,1122,32,220649,141582,362231
104,1053,32,220280,142857,363137
110,1067,32,220978,142635,363613
123,1117,32,221420,142631,364051
59,875,32,212188,151871,364059
124,1119,92,222698,141527,364225
682,2828,83,216764,147890,364654
758,2957,75,216268,148438,364706
222,1615,40,223793,142090,365883
831,3076,126,230367,135545,365912
701,2859,83,219252,146896,366148
221,1609,40,224206,141959,366165
735,2920,83,218551,147898,366449
658,2789,83,219665,147013,366678
662,2795,83,218506,148173,366679
674,2813,83,218877,147991,366868
244,1716,32,225825,141272,367097
270,1864,32,225605,141733,367338
1006,3338,73,223016,145884,368900
746,2942,16,216534,153147,369681
153,1368,70,207455,162682,370137
158,1378,70,204482,165697,370179
234,1661,70,206429,164182,370611
314,2001,50,223620,147538,371158
958,3257,16,217129,154047,371176
745,2939,83,218981,152329,371310
233,1657,70,206621,165752,372373
282,1953,50,225806,146626,372432
811,3052,126,241586,131174,372760
703,2867,83,221554,151540,373094
1190,3624,113,224378,148857,373235
248,1732,32,232784,141834,374618
175,1439,10,220976,153798,374774
197,1533,10,220177,154873,375050
759,2958,16,216662,158763,375425
297,1973,82,228353,147179,375532
131,1294,70,210893,164997,375890
180,1473,10,221217,154737,375954
208,1562,10,221604,154597,376201
742,2935,83,218334,158170,376504
205,1553,10,221899,154626,376525
743,2936,83,218133,158849,376982
283,1954,82,230742,146781,377523
1164,3580,16,217822,159796,377618
828,3073,126,232704,144970,377674
107,1062,10,223639,154095,377734
1193,3635,16,221928,157807,379735
184,1486,10,225013,155190,380203
2,90,7,223609,157801,381410
101,1041,10,226926,154634,381560
641,2748,7,223181,158403,381584
15,345,7,223501,158215,381716
833,3080,126,230904,151133,382037
22,381,28,227025,155225,382250
34,445,7,223907,158346,382253
77,976,7,223251,159033,382284
134,1303,70,217523,164777,382300
1,89,7,223991,158842,382833
291,1967,82,238444,146425,384869
762,2962,75,236547,148647,385194
132,1295,32,244448,141227,385675
858,3118,65,239282,147034,386316
45,745,7,228278,159017,387295
279,1947,82,236361,151144,387505
271,1866,12,248124,142197,390321
941,3210,126,232387,159017,391404
269,1856,50,240392,151132,391524
261,1786,50,241644,151117,392761
257,1775,50,241421,151711,393132
265,1794,82,242300,151939,394239
266,1795,12,254776,141623,396399
955,3254,65,249292,147459,396751
92,1023,44,270174,127074,397248
1089,3478,65,253029,146640,399669
287,1963,82,223308,176974,400282
933,3198,126,226360,174693,401053
321,2015,50,235815,169476,405291
3,259,7,226587,179953,406540
534,2516,41,227065,179562,406627
849,3105,41,225273,181714,406987
338,2051,12,265283,142281,407564
91,1021,44,281261,126732,407993
967,3283,65,261782,146767,408549
295,1971,82,236963,171961,408924
965,3279,65,262624,147610,410234
846,3101,41,227233,187979,415212
72,919,44,289827,126437,416264
280,1948,50,240108,176858,416966
250,1739,109,248277,170315,418592
274,1934,82,242500,178248,420748
1344,3880,118,205814,215180,420994
556,2591,105,196946,224581,421527
281,1951,103,242432,179309,421741
259,1781,82,242885,180030,422915
626,2714,83,253193,170138,423331
624,2708,83,252579,170861,423440
630,2722,83,254368,170744,425112
654,2782,83,255000,170802,425802
804,3043,65,247505,179198,426703
188,1506,10,344560,83228,427788
171,1422,51,272017,170289,442306
88,1002,44,316390,126837,443227
154,1369,104,278348,170353,448701
639,2741,77,266077,184511,450588
69,899,79,283431,170113,453544
71,918,79,284539,170298,454837
66,895,87,286461,170170,456631
252,1750,82,260845,200944,461789
75,970,90,296303,169789,466092
117,1091,94,297014,169977,466991
118,1092,95,297066,169977,467043
20,372,28,277054,190439,467493
21,380,28,277451,190841,468292
1184,3618,12,322192,147733,469925
187,1503,82,277200,195883,473083
100,1039,88,303119,169989,473108
90,1020,79,303385,170025,473410
14,343,28,281980,191828,473808
65,889,79,304148,170296,474444
78,979,79,304746,169890,474636
56,865,44,305247,170424,475671
96,1031,79,305840,169851,475691
76,972,91,305836,170219,476055
8,327,28,285668,190999,476667
1178,3605,113,304930,172885,477815
10,329,28,287391,192057,479448
74,968,79,310332,169871,480203
73,961,79,311610,170570,482180
193,1512,82,271332,213462,484794
87,1001,79,314490,170411,484901
292,1968,79,263196,226118,489314
70,906,88,319480,169837,489317
336,2045,79,262587,227049,489636
16,346,28,299377,190578,489955
149,1362,79,266381,224996,491377
63,886,32,321185,170832,492017
152,1367,79,266202,227140,493342
89,1009,79,323708,170132,493840
145,1327,79,269344,224873,494217
296,1972,79,265338,229357,494695
263,1791,79,269670,225570,495240
17,347,28,305800,189849,495649
226,1627,79,268446,227209,495655
206,1555,79,268588,227189,495777
129,1249,79,269856,226107,495963
133,1302,32,355301,141583,496884
165,1396,79,267586,230150,497736
186,1496,79,272361,226284,498645
142,1319,101,273588,225180,498768
213,1580,79,269320,229928,499248
340,2053,79,269286,230697,499983
19,371,28,309157,191063,500220
335,2042,12,358551,141954,500505
198,1537,79,269941,230586,500527
211,1575,79,271462,229174,500636
159,1379,79,274748,226014,500762
210,1564,79,274720,226966,501686
315,2002,26,271053,231179,502232
168,1404,79,276126,226706,502832
161,1384,79,271907,231039,502946
136,1308,79,277112,226019,503131
218,1597,79,274518,228922,503440
163,1388,79,272752,231035,503787
202,1545,79,273879,230268,504147
190,1509,79,273677,230705,504382
146,1329,104,274107,230360,504467
173,1431,79,276772,228839,505611
143,1320,102,279209,226828,506037
157,1376,79,275764,231393,507157
393,2179,79,280604,226591,507195
230,1634,79,276829,230520,507349
170,1418,79,277921,229545,507466
268,1855,79,277270,230275,507545
141,1318,79,278760,230796,509556
178,1456,79,278720,231080,509800
741,2934,83,357455,153612,511067
4,312,28,350501,162934,513435
64,887,79,345186,169793,514979
